temperature_C,humidity_pct,wind_speed_kmh,is_weekend,hotchoc_sales
16.4,93.3,4.01,1,69
-2.1,69.48,25.98,0,228
10.3,95.01,25.14,?,132
22.3,35.46,3.51,1,76
2.0,32.48,3.45,0,214
16.6,87.8,2.97,1,77
24.7,38.42,19.42,0,85
17.3,25.43,16.16,0,137
16.7,56.12,4.06,1,100
5.4,30.0,14.01,0,186
,67.42,15.62,1,176
23.7,88.38,6.29,0,81
-18.3,38.58,0.74,0,125
0.1,47.19,9.34,1,207
14.2,36.08,29.52,0,142
4.5,56.59,0.16,1,149
1.6,32.6,6.13,1,229
7.2,36.72,13.98,1,139
-3.4,unknown,15.39,1,217
21.7,67.94,15.08,1,NA
18.6,20.05,18.52,0,113
19.1,66.46,18.61,1,45
23.2,99.71,11.34,0,80
24.0,45.39,13.86,1,60
2.7,80.99,10.71,1,151
5.0,39.35,12.64,0,238
5.0,26.23,17.6,0,184
3.9,79.37,8.32,1,170
5.0,26.23,17.6,0,184
10.3,93.42,16.53,1,104
12.0,49.12,0.79,0,175
9.4,31.5,17.57,0,147
52.0,59.67,22.72,1,137
22.7,49.72,7.54,1,45
20.5,24.17,4.32,1,56
10.6kg,26.43,4.08,1,120
22.7,35.45,3.48,1,69
3.5,48.88,22.05,0,188
17.6,64.25,24.22,1,88
-4.5,62.22,21.78,1,185
22.8,95.56,27.12,0,77
1.3,99.31,0.84,1,182
5.6,88.83,0.47,0,186
2.7,31.08,19.58,0,219
-3.8,88.49,23.78,0.0,234
-3.5,47.96,13.16,1,195
-3.8,67.37,10.66,0,236
-2.2,90.22,7.75,1,188
11.5,,20.95,0,120
22.6,76.73,4.78,1,44
18.8,42.61,3.76,1,64
3.4,81.9,14.95,1,168
-3.4,61.07,19.83,-1.0,195
3.2,40.28,9.24,0,196
-3.1,?,0.97,1,223
9.9,91.64,,1,111
-3.0,80.97,27.19,0,238
6.5,66.62,28.77,0,158
14.2,91.64,19.98,0,106
19.0,45.04,23.14,1,36
3.5,63.46,0.0,0,186
3.3,59.41,12.3,0,215
-0.5,82.72,14.92,1,149
16.7,22.54,,0,134
23.8,30.25,27.17,1,58
16.3,26.95,17.11,1,104
11.6,22.91,9.93,1,126
-0.4,68.45,11.27,1,192
19.5,75.42,?,1,78
24.6,38.32,14.37,,46
0.0,41.28,16.83,0,NA
16.6,94.55,22.83,NA,87
20.1,73.96,29.1,0,78
24.3,56.46,26.82,0,61
-3.7,71.07,N/A,0,239
22.6,45.65,26.78,1,65
17.5,41.93,NA,0,125
23.4,85.0,28.91,0,73
-0.8,30.76,6.93,0,262
15.5,93.21,4.75,?,76
-0.4,83.87,28.88,0,195
7.1,74.66,16.22,N/A,170
-0.9,57.88,0.29,1,213
1.5,97.91,23.04,1,151
14.0,93.98,25.76,0,120
16.6,25.74,7.9,0,127
13.3pts,80.85,4.72,?,136
-3.3,30.22,17.16,1,236
18.2,57.6,5.0,0,102
6.6,85.97,5.4,,152
9.1,76.11,10.55,N/A,127
4.7,51.46,7.24,0,211
19.8,56.61,5.4,0,112
-3.4,37.9,27.99,1,195
12.7,32.22,29.79,1,116
N/A,NA,25.79,1,61
1.1,90.3,12.98,1,155
22.9,85.48,1.37,1,18
24.2,72.43,27.58,0,82
11.1,94.7,16.91,1,91
-1.9,62.9,14.25,1,212
18.9,64.65,27.92,0,94
,84.88,12.32,0,78
,50.8,9.98,0,83
23.8,56.87,NA,1,33
7.4,51.49,22.79,1,132
12.2,42.07,17.68,-1.0,114
9.5,71.64,8.16,1,130
-0.1,85.14,10.26,1,159
22.1,44.62,N/A,1,71
8.7,51.61,3.95,1,144
3.7,40.87,12.41,1,161
21.9,47.98,20.55,0,102
0.5,82.02,28.78,,196
3.4,33.12,8.93,?,221
8.7,40.99,27.69,0,166
-4.4,65.86,3.36,0,221
18.8,69.74,20.15,1,48
21.1,86.7,21.42,1,53
5.9,59.2,11.9,0,168
6.1,34.15,25.4,0,201
14.6,37.28,23.8,1,104
10.2,96.56,29.47,0,132
12.6,55.63,7.22,0,147
17.7,39.13,15.62,0,103
10.3,93.42,16.53,1,104
-4.7,22.79,0.71,1,229
,98.32,18.61,1,136
unknown,62.15,6.08,1,144
13.6,68.9,13.28,0,134
2.1,25.32,24.2,0,230
10.3,75.26,25.22,0,120
-0.0,21.57,4.8,1,245
2.3,25.55,25.61,1,NA
1.1,31.96,13.21,1,196
-2.8kg,32.02,18.41,10.0,210
20.3,31.72,1.95,1,65
-2.6,70.63,13.55,1,185
24.5,21.54,20.5,1,51
4.4,55.22,8.56,0,227
8.7,86.75,5.7,0,174
24.4,97.07,22.07,0,61
22.0,22.15,2.48,0,106
20.1,65.48,25.5,0,82
12.3,66.07,1.42,1,98
4.6,41.29,7.54,1,166
-4.0,83.66,13.99,1,202
24.9,79.39,27.02,1,11
22.7,58.61,2.03,1,68
15.7,42.21,N/A,1,92
14.2,27.53,3.2,0,150
24.2,25.59,20.22,0,72
3.2,85.85,1.85,0,204
7.3,55.92,25.04,0,178
9.1,50.83,26.21,0,168
0.6,34.71,2397.0,1,161
-1.2,70.38,17.96,0,216
20.5,52.3,27.98,0,103
16.8,62.6,0.64,1,77
